CookerStat, GenerateAssetRegistry=0.048328, Initialize=0.254028, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId16BBE1F448EA19644A1CBA9EB35B10F0_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.28-18.06.04, Duration=214.712265, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___E4261310C6827BE0699E0E38E182C3B841FFD2EB, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=262403, Duration=8.119881, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId25C72E024D32D1F21FDB0F8904AE3A55_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___8840DF5883E6EC5500D3350FB12B05898FBAE0C5, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=65795, Duration=29.691223, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___656A5593B9A79465290398ABD19F32BF841D32E1, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=16643, Duration=7.836349, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_660726A047C2927550383F8D31513001___CF70F1551B9B3BAA91EF94E1C1B6B6F013D72556, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=6882, Duration=21.601278, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId16BBE1F448EA19644A1CBA9EB35B10F0_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C968_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.28-18.06.04, Duration=136.894043, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C__F79118E6F30CD645ED13CCACDE18506EDDF2AAA7, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=131335, Duration=16.114466, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C__D9BCE034B54501B31E1268E47E4A9A15D33D5424, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=33031, Duration=13.596431, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId25C72E024D32D1F21FDB0F8904AE3A55_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C__8D74DBB4A0FC52B1E60DDF306B3B6D5AD8928B38, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=8455, Duration=28.857723, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId80BA6EAC4057D656C3A1CD8B3A1AFCFB_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3D9DF5394695F7124FAF65908374C__1048758D1A9E930E3BE15FAD74367A7AD7306A1B, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=4155, Duration=4.675549, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId16BBE1F448EA19644A1CBA9EB35B10F0_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877CF9E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.28-18.06.04, Duration=92.092491, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
DDCTransactionId82318B9B44A14BA65EDE02A9DC598088_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C25F0AA4434FAD95C399DCB32877C__F9C48EB226BBE8678412D2FA9F8F6414C0AF8240, StartTime=2016.04.28-18.06.04, HierarchicalDDC=, DataSize=131335, Duration=43.685806, RunGuid=RunID6BE7E50F476B3D993DE181909F9888F2
